gene	gene_overs	chain	synt	gl_score	gl_exo	chain_len	loc_exo	exon_cover	intr_cover	gene_len	ex_num	ex_fract	intr_fract	flank_cov	exon_perc	chain_len_log	synt_log	intr_perc	single_exon	y
ENST00000370693	24	70	28	116196523	0.019467908514271198	16890855	0.10739735324058364	633	5261	17508	3	636	10857	0.2648	0.9952830188679245	7.22765163372636	1.4471580313422192	0.48457216542322923	0.0	1
ENST00000596873	28	154	172	28766960	0.2293800446110332	4300636	0.2786885245901639	357	924	1820	4	357	1237	0.21685	1.0	6.633532686013474	2.2355284469075487	0.7469684721099434	0.0	1
ENST00000367103	24	8	378	595018367	0.03417793640959447	48813049	0.0402789342214821	1161	27663	49247	10	1203	46286	0.54855	0.9650872817955112	7.68853593575566	2.5774917998372255	0.5976537181869248	0.0	1
ENST00000403657	5	33	99	254319805	0.018822789096054005	26105533	0.06546644844517185	680	9707	43173	12	684	39633	0.32845	0.9941520467836257	7.416732564683136	1.99563519459755	0.24492216082557464	0.0	1
ENST00000466387	24	63	142	137584669	0.031881994525435324	20863302	0.003991892844554107	2718	678162	1463549	22	2718	1459200	0.37495	1.0	7.319383044593469	2.1522883443830563	0.46474917763157897	0.0	1
ENST00000368849	30	4	590	669411619	0.03626671179324028	90063506	0.06227436823104693	1173	17663	43275	13	1173	40168	0.48095	1.0	7.954548849209376	2.7708520116421442	0.43972814180442144	0.0	1
ENST00000346085	42	113	70	60617631	0.033172284213351735	15852718	0.03416401906274821	6882	194558	434760	21	6999	423947	0.4304	0.9832833261894557	7.200103734137572	1.845098040014257	0.45892057261874714	0.0	1
ENST00000311502	12	99	229	73617398	0.07776593256683295	12935788	0.3251141552511416	2136	4434	33240	15	2190	30136	0.75465	0.9753424657534246	7.111792889459831	2.359835482339888	0.14713299707990443	0.0	1
ENST00000438607	16	25	667	349768642	0.0415290535865019	120657507	0.14595808383233533	195	1141	3952	4	195	3391	0.55815	1.0	8.081554347771961	2.824125833916549	0.33647891477440284	0.0	1
ENST00000373255	4	50	87	171378638	0.02667496669346139	19707698	0.06412974955584848	1119	16330	59437	9	1119	57505	0.5101	1.0	7.294635898542061	1.9395192526186185	0.2839753064950874	0.0	1
ENST00000220592	14	13	228	512813643	0.02498095804391771	48653383	0.2136999917170546	2580	9493	115478	19	2580	100883	0.2069	1.0	7.687113043312526	2.357934847000454	0.09409910490370033	0.0	1
ENST00000389100	8	9	198	583005239	0.019384658155184583	53712582	0.03527796569700346	1773	48485	207027	8	1779	202082	0.1883	0.9966273187183811	7.730076029705603	2.296665190261531	0.23992735622173178	0.0	1
ENST00000361236	17	66	73	122595735	0.02959681378613845	17438549	0.051985631610457	521	9501	56508	4	570	53187	0.14095	0.9140350877192982	7.241510345991659	1.863322860120456	0.17863387669919342	0.0	1
ENST00000398761	12	50	87	171378638	0.02667496669346139	19707698	0.023103636772886592	1437	60761	258865	12	1437	256377	0.2153	1.0	7.294635898542061	1.9395192526186185	0.23699863872344243	0.0	1
ENST00000379520	5	32	103	281242430	0.022108358534702992	24308105	0.043555872902534806	366	8037	13593	5	366	11033	0.24375	1.0	7.38575110363472	2.012837224705172	0.72845101060455	0.0	1
ENST00000392325	3	21	1063	383169044	0.07490003541431353	78597601	0.14275862068965514	1035	6215	33883	10	1035	31387	0.1125	1.0	7.89540929046228	3.0265332645232967	0.19801191576130245	0.0	1
ENST00000611517	56	5	718	663165320	0.05604511424578239	57613857	0.11498257839721256	627	4826	14255	6	627	12642	0.3942	1.0	7.7605269503479635	2.8561244442423	0.3817433950324316	0.0	1
ENST00000413302	8	299	9	3601474	0.16510705643120693	332141	0.26043307086614176	1323	3757	13804	12	1326	10117	0.41005	0.997737556561086	5.521322488891695	0.9542425094393249	0.3713551448057725	0.0	1
ENST00000382932	10	299	9	3601474	0.16510705643120693	332141	0.5930991607087348	1908	1309	3844	5	1908	1528	0.293	1.0	5.521322488891695	0.9542425094393249	0.856675392670157	0.0	1
ENST00000442047	6	185	52	17431580	0.09192651591645852	2653289	0.2044374009508716	1161	4518	14542	9	1179	13363	0.13515	0.9847328244274809	6.423784556529482	1.7160033436347992	0.3380977325450872	0.0	1
ENST00000361727	55	14	421	503843179	0.0260662621955512	57761932	0.004081895323287948	3996	974961	2304198	24	3996	2294744	0.37945	1.0	7.761641710927695	2.6242820958356683	0.4248670004148611	0.0	1
ENST00000368594	27	54	89	166410269	0.02741105367020877	14191377	0.02564951868336611	1239	47066	245694	16	1239	242694	0.40275	1.0	7.1520245374227525	1.9493900066449128	0.19393145277592358	0.0	1
ENST00000335290	43	1	448	860122385	0.02805718162840664	82187292	0.020946751698034945	1616	75532	153810	7	1635	151687	0.5396	0.9883792048929664	7.914804671056647	2.651278013998144	0.49794642916004667	0.0	1
ENST00000326402	4	66	73	122595735	0.02959681378613845	17438549	0.09859892627995286	1506	13768	53818	11	1515	47781	0.0658	0.994059405940594	7.241510345991659	1.863322860120456	0.2881480086226743	0.0	1
ENST00000228027	4	39	136	214062694	0.02936866295416912	20720034	0.05255099743324177	1167	21040	32757	8	1167	30350	0.41125	1.0	7.316390463717996	2.1335389083702174	0.6932454695222405	0.0	1
ENST00000262794	2	64	214	136942675	0.07038590119711767	15218708	0.23042129749289225	3566	11910	71682	27	3636	67725	0.2435	0.9807480748074807	7.1823777843473176	2.330413773349191	0.17585825027685492	0.0	1
ENST00000588735	9	21	1063	383169044	0.07490003541431353	78597601	0.2229519529899758	1290	4496	12342	9	1299	6841	0.57435	0.9930715935334873	7.89540929046228	3.0265332645232967	0.6572138576231545	0.0	1
ENST00000564288	25	5	718	663165320	0.05604511424578239	57613857	0.16019013327830475	22512	118021	282932	101	22668	258104	0.40475	0.9931180518793012	7.7605269503479635	2.8561244442423	0.45726141400365744	0.0	1
ENST00000553521	9	1	448	860122385	0.02805718162840664	82187292	0.12267994567677686	813	5814	45105	9	819	42290	0.3353	0.9926739926739927	7.914804671056647	2.651278013998144	0.1374793095294396	0.0	1
ENST00000613416	15	25	667	349768642	0.0415290535865019	120657507	0.10454472458647823	1302	11152	61900	6	1326	57094	0.80175	0.9819004524886877	8.081554347771961	2.824125833916549	0.19532700458892352	0.0	1
ENST00000382254	59	31	101	283361598	0.02003198769832417	33981714	0.006604324794324434	2385	358742	1102672	15	2385	1098414	0.53515	1.0	7.531245280417924	2.0043213737826426	0.32659998871099605	0.0	1
ENST00000460843	48	99	229	73617398	0.07776593256683295	12935788	0.12010023822046223	3882	28441	217123	27	3897	212028	0.25675	0.9961508852963818	7.111792889459831	2.359835482339888	0.1341379440451261	0.0	1
ENST00000335007	16	81	185	93957127	0.06392882820280915	22894969	0.2517482517482518	972	2889	23212	7	972	20660	0.1556	1.0	7.359740059825365	2.2671717284030137	0.13983543078412392	0.0	1
ENST00000361198	3	19	243	415052886	0.033067434044853634	32029883	0.2087037037037037	1127	4273	7387	11	1128	5102	0.46425	0.999113475177305	7.505555352258977	2.385606273598312	0.837514700117601	0.0	1
ENST00000650807	21	221	35	10360458	0.12756186472879266	2345705	0.16133713118718762	3002	15605	110462	35	3480	105732	0.0577	0.8626436781609196	6.370273393573234	1.5440680443502757	0.1475901335451897	0.0	1
ENST00000394409	39	56	146	155088591	0.05735666557587029	10355816	0.007721157246120582	1332	171181	297497	9	1332	286793	0.47115	1.0	7.015184325376722	2.164352855784437	0.596879979636881	0.0	1
ENST00000540069	8	556	5	1013487	0.17683637776914107	160195	0.37282304880670825	1734	2917	10883	5	1734	8773	0.3603	1.0	5.204648956777575	0.6989700043360189	0.33249743531289183	0.0	1
ENST00000577222	34	214	68	11105969	0.2563071452759905	2717989	0.4595375722543353	318	374	10452	6	318	9578	0.2064	1.0	6.434247694762565	1.8325089127062364	0.03904781791605763	0.0	1
ENST00000368173	3	4	590	669411619	0.03626671179324028	90063506	0.0279789661672785	1974	68579	106989	13	1974	99470	0.52095	1.0	7.954548849209376	2.7708520116421442	0.6894440534834624	0.0	1
ENST00000443950	26	178	21	20678309	0.03408505238923699	3130149	0.3702165529516464	1248	2123	11215	3	1248	8460	0.11805	1.0	6.495565011136747	1.3222192947339193	0.2509456264775414	0.0	1
ENST00000327979	46	7	492	637294965	0.035983633578494684	62520628	0.11429841218536625	2829	21922	105435	22	2853	101044	0.32235	0.9915878023133544	7.796023331720227	2.69196510276736	0.21695498990538775	0.0	1
ENST00000382346	30	2	397	751016404	0.02238264198216026	87035760	0.08982549823591113	942	9545	29692	10	1002	27699	0.24905	0.9401197604790419	7.939697725949518	2.598790506763115	0.3445972778800679	0.0	1
ENST00000278550	6	39	136	214062694	0.02936866295416912	20720034	0.016430523206383982	8310	497456	788202	34	8310	773821	0.50535	1.0	7.316390463717996	2.1335389083702174	0.6428566813255262	0.0	1
ENST00000295055	32	32	103	281242430	0.022108358534702992	24308105	0.033988498841301173	1980	56275	84676	23	2010	81993	0.38755	0.9850746268656716	7.38575110363472	2.012837224705172	0.6863390777261473	0.0	1
ENST00000259021	7	45	146	181835536	0.03920049793453765	13539165	0.10912981455064194	1836	14988	46346	15	1836	36832	0.4418	1.0	7.131591880961048	2.164352855784437	0.40692875760208513	0.0	1
ENST00000381103	54	9	198	583005239	0.019384658155184583	53712582	0.06603015398463369	2054	29053	80133	21	2061	76773	0.39555	0.9966035904900534	7.730076029705603	2.296665190261531	0.37842731168509763	0.0	1
ENST00000285930	22	14	421	503843179	0.0260662621955512	57761932	0.10198391420911528	951	8374	16745	10	951	15384	0.38325	1.0	7.761641710927695	2.6242820958356683	0.5443317732709309	0.0	1
ENST00000314167	32	276	15	4572627	0.1522730328700478	654682	0.24600980268945585	3915	11999	83040	28	3936	78579	0.185	0.9946646341463414	5.816030400478834	1.1760912590556813	0.1526998307435829	0.0	1
ENST00000310074	9	146	39	32137032	0.05138407254771095	4735214	0.2187391756148251	1263	4511	14581	2	1263	10212	0.37805	1.0	6.675339610988497	1.591064607026499	0.4417352134743439	0.0	1
ENST00000306897	6	21	1063	383169044	0.07490003541431353	78597601	0.31900826446280994	579	1236	2527	6	579	1489	0.5122	1.0	7.89540929046228	3.0265332645232967	0.8300873069173942	0.0	1
ENST00000393386	70	14	421	503843179	0.0260662621955512	57761932	0.05817461655149165	6903	111757	188876	30	6948	180773	0.52995	0.9935233160621761	7.761641710927695	2.6242820958356683	0.61821732227711	0.0	1
ENST00000608872	5	111	53	61510114	0.04307239993180642	4435944	0.1449044585987261	1365	8055	36443	8	1365	27301	0.2109	1.0	6.646986054915243	1.724275869600789	0.29504413757737813	0.0	1
ENST00000464488	1	111	53	61510114	0.04307239993180642	4435944	0.2565469293163384	1107	3208	7516	3	1110	5855	0.1915	0.9972972972972973	6.646986054915243	1.724275869600789	0.5479077711357814	0.0	1
ENST00000210313	1	111	53	61510114	0.04307239993180642	4435944	0.14266880120538658	1515	9104	26870	10	1515	23489	0.25995	1.0	6.646986054915243	1.724275869600789	0.38758567840265656	0.0	1
ENST00000373896	4	111	53	61510114	0.04307239993180642	4435944	0.1247661534033674	1734	12164	21538	15	1743	17389	0.41105	0.9948364888123924	6.646986054915243	1.724275869600789	0.6995226867559952	0.0	1
ENST00000373887	4	111	53	61510114	0.04307239993180642	4435944	0.1256512411890898	1230	8559	24404	8	1251	20053	0.39005	0.9832134292565947	6.646986054915243	1.724275869600789	0.4268189298359348	0.0	1
ENST00000373855	3	111	53	61510114	0.04307239993180642	4435944	0.16423159534543394	6958	35409	102597	44	6978	94937	0.4822	0.99713384924047	6.646986054915243	1.724275869600789	0.37297365621412093	0.0	1
ENST00000373840	3	111	53	61510114	0.04307239993180642	4435944	0.04619662080273758	648	13379	23737	8	648	19588	0.5403	1.0	6.646986054915243	1.724275869600789	0.6830202164590565	0.0	1
ENST00000373823	6	111	53	61510114	0.04307239993180642	4435944	0.037951713530235215	2196	55667	125044	25	2196	121703	0.55745	1.0	6.646986054915243	1.724275869600789	0.4574003927594225	0.0	1
ENST00000286713	2	111	53	61510114	0.04307239993180642	4435944	0.05850992036712108	867	13951	31264	7	867	28119	0.4062	1.0	6.646986054915243	1.724275869600789	0.49614139905402044	0.0	1
ENST00000648444	7	111	53	61510114	0.04307239993180642	4435944	0.11570531517002368	3372	25771	48380	14	3387	41575	0.3427	0.995571302037201	6.646986054915243	1.724275869600789	0.6198677089597113	0.0	1
ENST00000321582	1	111	53	61510114	0.04307239993180642	4435944	0.01667316761816957	2351	138654	271679	9	2403	268429	0.4767	0.9783603828547649	6.646986054915243	1.724275869600789	0.5165388240465821	0.0	1
ENST00000373768	1	111	53	61510114	0.04307239993180642	4435944	0.059118350609408815	519	8260	15722	4	519	14918	0.5821	1.0	6.646986054915243	1.724275869600789	0.553693524601153	0.0	1
ENST00000373764	1	111	53	61510114	0.04307239993180642	4435944	0.022944009064299883	486	20696	40176	5	486	39473	0.59915	1.0	6.646986054915243	1.724275869600789	0.5243077546677476	0.0	1
ENST00000559895	2	111	53	61510114	0.04307239993180642	4435944	0.044524568170384034	531	11395	19158	7	531	15571	0.73955	1.0	6.646986054915243	1.724275869600789	0.7318091323614412	0.0	1
ENST00000417201	1	111	53	61510114	0.04307239993180642	4435944	0.04486025209426133	573	12200	27219	6	573	22242	0.66185	1.0	6.646986054915243	1.724275869600789	0.5485118244762162	0.0	1
ENST00000344641	3	111	53	61510114	0.04307239993180642	4435944	0.024412884062006868	789	31530	66456	7	789	56862	0.49635	1.0	6.646986054915243	1.724275869600789	0.5545003693151841	0.0	1
ENST00000362012	2	111	53	61510114	0.04307239993180642	4435944	0.11947431302270012	1800	13266	24680	11	1800	19660	0.44245	1.0	6.646986054915243	1.724275869600789	0.6747711088504578	0.0	1
ENST00000259467	1	111	53	61510114	0.04307239993180642	4435944	0.2265	906	3094	10492	4	906	7475	0.11815	1.0	6.646986054915243	1.724275869600789	0.41391304347826086	0.0	1
ENST00000373670	2	111	53	61510114	0.04307239993180642	4435944	0.19729206963249515	3570	14525	53555	20	3576	44307	0.46565	0.9983221476510067	6.646986054915243	1.724275869600789	0.32782630284153746	0.0	1
ENST00000373659	2	111	53	61510114	0.04307239993180642	4435944	0.6017029328287606	1272	842	5268	2	1275	1169	0.62115	0.9976470588235294	6.646986054915243	1.724275869600789	0.72027373823781	0.0	1
ENST00000373656	3	111	53	61510114	0.04307239993180642	4435944	0.2080843032400126	1323	5035	15947	2	1326	11492	0.46085	0.997737556561086	6.646986054915243	1.724275869600789	0.43813087365123565	0.0	1
ENST00000373647	53	111	53	61510114	0.04307239993180642	4435944	0.055068167324497146	3195	54824	163847	26	3210	158861	0.36275	0.9953271028037384	6.646986054915243	1.724275869600789	0.3451067285236779	0.0	1
ENST00000373642	2	111	53	61510114	0.04307239993180642	4435944	1.0	1050	0	1170	1	1050	0	0.44025	1.0	6.646986054915243	1.724275869600789	0.0	1.0	1
ENST00000348403	3	111	53	61510114	0.04307239993180642	4435944	0.03600149783349085	2019	54062	146970	19	2019	140519	0.48465	1.0	6.646986054915243	1.724275869600789	0.38473089048456083	0.0	1
ENST00000373631	1	111	53	61510114	0.04307239993180642	4435944	0.256989247311828	3824	11056	22557	13	3858	16944	0.46065	0.991187143597719	6.646986054915243	1.724275869600789	0.6525023607176582	0.0	1
ENST00000373624	18	111	53	61510114	0.04307239993180642	4435944	0.00956726291027928	3030	313675	550454	22	3030	545444	0.66375	1.0	6.646986054915243	1.724275869600789	0.5750819515843973	0.0	1
ENST00000373615	2	111	53	61510114	0.04307239993180642	4435944	0.09060552092609082	1221	12255	21534	5	1221	19138	0.7846	1.0	6.646986054915243	1.724275869600789	0.6403490437872296	0.0	1
ENST00000373600	2	111	53	61510114	0.04307239993180642	4435944	0.02217280677371764	1037	45732	95345	11	1044	91726	0.54165	0.9932950191570882	6.646986054915243	1.724275869600789	0.49857183350413187	0.0	1
ENST00000259457	3	111	53	61510114	0.04307239993180642	4435944	0.019623067692524882	834	41667	61978	8	834	60994	0.5223	1.0	6.646986054915243	1.724275869600789	0.6831327671574253	0.0	1
ENST00000373588	5	111	53	61510114	0.04307239993180642	4435944	0.08389322680225167	1386	15135	26164	7	1386	23090	0.61735	1.0	6.646986054915243	1.724275869600789	0.6554785621481161	0.0	1
ENST00000487099	7	111	53	61510114	0.04307239993180642	4435944	0.015616714104825706	1443	90958	254037	10	1443	246972	0.61015	1.0	6.646986054915243	1.724275869600789	0.36829276193252675	0.0	1
ENST00000373580	3	111	53	61510114	0.04307239993180642	4435944	0.14982738780207136	1953	11082	37750	8	1959	31183	0.43265	0.996937212863706	6.646986054915243	1.724275869600789	0.35538594747137864	0.0	1
ENST00000613760	12	111	53	61510114	0.04307239993180642	4435944	0.3980121002592913	921	1393	4474	9	948	3151	0.184	0.9715189873417721	6.646986054915243	1.724275869600789	0.44208187876864485	0.0	1
ENST00000353214	2	111	53	61510114	0.04307239993180642	4435944	0.09333333333333334	462	4488	15604	6	462	13097	0.4438	1.0	6.646986054915243	1.724275869600789	0.34267389478506527	0.0	1
ENST00000373555	18	111	53	61510114	0.04307239993180642	4435944	0.10350813082404532	2266	19626	62809	23	2304	57932	0.62925	0.9835069444444444	6.646986054915243	1.724275869600789	0.3387764965821998	0.0	1
ENST00000336505	5	111	53	61510114	0.04307239993180642	4435944	0.05136531782113913	1819	33594	200889	18	1821	188810	0.56055	0.9989017023613399	6.646986054915243	1.724275869600789	0.17792489804565437	0.0	1
ENST00000282226	74	9	198	583005239	0.019384658155184583	53712582	0.10899790136411333	831	6793	54464	6	831	52878	0.20385	1.0	7.730076029705603	2.296665190261531	0.12846552441469042	0.0	1
ENST00000313833	42	96	35	74506157	0.021826579004466915	5931960	0.10008148396683124	2088	18775	82191	2	2136	78843	0.21895	0.9775280898876404	6.773198213860416	1.5440680443502757	0.23813147647857133	0.0	1
ENST00000313367	37	48	113	178155583	0.017425802206866754	26063049	0.02801055653106501	2664	92443	183639	23	2664	176890	0.35375	1.0	7.416025220525388	2.0530784434834195	0.522601616824015	0.0	1
ENST00000357311	67	105	326	67138327	0.04728540742149101	54745497	0.057131687702446116	2046	33766	152639	15	2067	148939	0.6635	0.9898403483309144	7.738348402809357	2.513217600067939	0.2267102639335567	0.0	1
ENST00000357479	57	1	448	860122385	0.02805718162840664	82187292	0.07612467764016684	2391	29018	132576	18	2394	128381	0.43485	0.9987468671679198	7.914804671056647	2.651278013998144	0.2260303315911233	0.0	1
ENST00000216879	13	199	29	13420706	0.055588102748986026	1380253	0.09604763548498446	1113	10475	25531	9	1113	21963	0.2268	1.0	6.1399586997585835	1.462397997898956	0.4769384874561763	0.0	1
ENST00000392825	29	6	170	644681979	0.0258200246176038	48355584	0.007980133241003844	1671	207724	582058	13	1671	576401	0.5637	1.0	7.684446632718066	2.230448921378274	0.36038105416194627	0.0	1
ENST00000376705	10	15	261	503755182	0.011455798333324036	83154542	0.003497568039208406	1413	402582	748724	2	1416	740920	0.70745	0.9978813559322034	7.919885975884629	2.416640507338281	0.5433542082815959	0.0	1
ENST00000313640	10	80	48	95288630	0.025030029156888824	8329119	0.023498694516971282	1215	50490	105843	13	1233	102683	0.5735	0.9854014598540146	6.920599066992259	1.6812412373755872	0.49170748809442655	0.0	1
ENST00000264485	51	2	397	751016404	0.02238264198216026	87035760	0.014255418378930141	3240	224042	384825	26	3240	377109	0.3783	1.0	7.939697725949518	2.598790506763115	0.5941040919203732	0.0	1
ENST00000239462	23	8	378	595018367	0.03417793640959447	48813049	0.09494643859349457	3891	37090	80243	19	3900	75201	0.47095	0.9976923076923077	7.68853593575566	2.5774917998372255	0.4932115264424675	0.0	1
ENST00000265437	62	14	421	503843179	0.0260662621955512	57761932	0.013172154400280495	1653	123839	270581	16	1758	267682	0.612	0.9402730375426621	7.761641710927695	2.6242820958356683	0.4626347681203816	0.0	1
ENST00000382758	11	15	261	503755182	0.011455798333324036	83154542	0.12309160305343513	645	4595	45231	5	645	44177	0.44125	1.0	7.919885975884629	2.416640507338281	0.10401340063834122	0.0	1
ENST00000370454	13	127	31	42881475	0.04392781835406289	4360808	0.06603515304166895	2412	34114	86414	3	2412	79244	0.5826	1.0	6.639566965743331	1.4913616938342726	0.43049316036545354	0.0	1
ENST00000479035	20	21	1063	383169044	0.07490003541431353	78597601	0.2964260686755431	423	1004	5862	5	423	3156	0.17135	1.0	7.89540929046228	3.0265332645232967	0.3181242078580482	0.0	1
ENST00000225388	9	126	57	43788022	0.086890046322095	3328260	0.2426367461430575	2076	6480	38310	4	2088	27433	0.3525	0.9942528735632183	6.522217245549792	1.7558748556724915	0.23621186162650823	0.0	1
ENST00000361306	46	26	226	338561524	0.02268430195631493	41209390	0.05823597924681466	1650	26683	63975	12	1662	61572	0.2854	0.9927797833935018	7.614996185949129	2.3541084391474008	0.43336256740076656	0.0	1
ENST00000612087	46	82	114	92611763	0.02132465869946648	19922480	0.06032608695652174	2886	44954	207109	11	2886	197021	0.1874	1.0	7.299343399513151	2.0569048513364727	0.22816857086300446	0.0	1
ENST00000256379	13	1	448	860122385	0.02805718162840664	82187292	0.10089869281045752	741	6603	17079	8	741	15084	0.17525	1.0	7.914804671056647	2.651278013998144	0.4377486077963405	0.0	1
ENST00000319363	68	236	13	7926949	0.08368991308148346	1093078	0.2523170972194833	2559	7583	30735	13	2601	22128	0.2794	0.9838523644752019	6.038651153496759	1.1139433523068367	0.3426879971077368	0.0	1
ENST00000304920	27	15	261	503755182	0.011455798333324036	83154542	0.07130912565695174	597	7775	19756	3	609	17895	0.2236	0.9802955665024631	7.919885975884629	2.416640507338281	0.43447890472198936	0.0	1
ENST00000265997	31	19	243	415052886	0.033067434044853634	32029883	0.02599375054464875	2088	78239	244387	10	2097	236606	0.09765	0.9957081545064378	7.505555352258977	2.385606273598312	0.33067208777461266	0.0	1
ENST00000216277	7	1	448	860122385	0.02805718162840664	82187292	0.0973726917847274	2220	20579	64739	22	2238	60220	0.2564	0.9919571045576407	7.914804671056647	2.651278013998144	0.3417303221521089	0.0	1
ENST00000404743	11	19	243	415052886	0.033067434044853634	32029883	0.11437584497521408	1269	9826	17817	9	1272	16333	0.4991	0.9976415094339622	7.505555352258977	2.385606273598312	0.601604114369681	0.0	1
ENST00000371930	13	19	243	415052886	0.033067434044853634	32029883	0.0736949846468782	576	7240	31949	6	576	28091	0.4864	1.0	7.505555352258977	2.385606273598312	0.2577337937417678	0.0	1
ENST00000310389	10	162	42	25880650	0.08016341097149488	2678422	0.244	732	2268	16423	4	735	5597	0.45399999999999996	0.9959183673469387	6.427879003532163	1.6232492903979006	0.40521708057888156	0.0	1
ENST00000194130	3	14	421	503843179	0.0260662621955512	57761932	0.038681575867897534	1785	44361	86439	15	1788	82641	0.3956	0.9983221476510067	7.761641710927695	2.6242820958356683	0.5367916651541003	0.0	1
ENST00000293695	3	152	203	29932220	0.18847751869687532	7058659	0.12713675213675213	595	4085	20508	6	657	19260	0.42965	0.9056316590563166	6.848722201870829	2.307496037913213	0.2120976116303219	0.0	1
ENST00000438146	41	64	214	136942675	0.07038590119711767	15218708	0.010301866878771423	1347	129406	290089	14	1356	282865	0.3156	0.9933628318584071	7.1823777843473176	2.330413773349191	0.45748325172785603	0.0	1
ENST00000371554	51	62	556	139608887	0.038468514638073166	127704229	0.6020492938244254	2174	1437	6018	12	2175	3344	0.58675	0.9995402298850574	8.106205279416532	2.7450747915820575	0.4297248803827751	0.0	1
ENST00000266088	9	268	6	5048391	0.11122333522977887	524234	0.08950256364127013	1990	20244	69769	15	1995	64937	0.1101	0.9974937343358395	5.719525184358651	0.7781512503836436	0.31174830990036495	0.0	1
ENST00000222644	56	48	113	178155583	0.017425802206866754	26063049	0.04310688911950188	1620	35961	120848	12	1623	112396	0.61945	0.9981515711645101	7.416025220525388	2.0530784434834195	0.3199491085091996	0.0	1
ENST00000374392	30	5	718	663165320	0.05604511424578239	57613857	0.03828658074298711	303	7611	53242	4	309	49262	0.11555	0.9805825242718447	7.7605269503479635	2.8561244442423	0.15450042629207097	0.0	1
ENST00000274458	74	37	64	218288781	0.01615942467850275	20083259	0.011958058435438266	609	50319	208263	7	609	206828	0.59285	1.0	7.30283418909407	1.806179973983887	0.24328910979171098	0.0	1
ENST00000267119	13	42	200	192234531	0.056210951187365785	21742197	0.21532546003845104	1568	5714	9237	9	1572	6974	0.5321	0.9974554707379135	7.3373034264461365	2.3010299956639813	0.8193289360481789	0.0	1
